"Technology_Text__c","Sub_Technology_Text__c","Product_Name__c","COUNT"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M3-U","18"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6248UP-UPG","12"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","N20-C6508-UPG","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M4-U","39"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","THIRD_PARTY_PRODUCT_HW","9"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M4","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-B200-M5","15"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSC-C240-M6SX","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6296UP","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6332","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6248UP","8"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-5108-AC2","6"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCSB-5108-AC2-UPG","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-FI-6248UP=","5"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","SFP-H10GB-CU3M","1"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B System/Other Issues","UCS-ACC-6248UP","1"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","SNS-3415-K9","33"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","THIRD_PARTY_PRODUCT_HW","9"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","CSACS-1121-K9","15"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","VMW-HZAD-100C-2YR","3"
"Security - Access Control - AAA and Policy Management","Cisco Secure ACS 5.x (not Express)","CSACS-3415-K9","3"
"LAN Switching","Cat6000, 6500 (Supervisor 1, 1a, 2, or 720)","THIRD_PARTY_PRODUCT_HW","6"
"LAN Switching","Cat6000, 6500 (Supervisor 1, 1a, 2, or 720)","VS-C6509E-S720-10G","6"
"LAN Switching","Cat6500 Virtual Switch System (VSS)","WS-C6506-E-FWM-K8","3"
"LAN Switching","Cat6500 Virtual Switch System (VSS)","VS-C6509E-S720-10G","3"
"LAN Switching","Cat6500 Virtual Switch System (VSS)","WS-X6724-SFP","3"
"Hardware","Cat6000/Cat6500 Hardware Failure","VS-F6K-PFC3C","3"
"Hardware","Cat6000/Cat6500 Hardware Failure","VS-S720-10G-3C","3"
"Hardware","Cat6000/Cat6500 Hardware Failure","WS-X6708-10GE","3"
"Data Center Computing - (UCS Blade and Rack Mount Server Systems)","UCS-B Storage - SAN/Remote Boot (iSCSI, FCoE, Fibre Channel, etc.)","UCS-FI-6248UP-UPG","4"
