Technology_Text__c,Sub_Technology_Text__c,SW_Version__c,num,Norm_SWV
Router and IOS-XE Architecture,IOS-XE Unexpected Reload,asr1000rpx86-universalk9.17.03.04a.SPA.bin,3,17.03.04a
Router and IOS-XE Architecture,IOS-XE Unexpected Reload,cat3k_caa-universalk9.16.03.05b.SPA.bin,3,16.03.05b
Router and IOS-XE Architecture,IOS-XE Unexpected Reload,1,2,1
Router and IOS-XE Architecture,IOS-XE Unexpected Reload,16.12.1s,1,16.12.1s
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),NA - COMPONENT ONLY,3,NA - COMPONENT ONLY
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),16.12.3s,2,16.12.3s
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),DNAC-SW-2.3.3.3.iso,3,2.3.3.3
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),17.6.4,2,17.6.4
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),16.12.4,3,16.12.4
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),DNAC-SW-2.2.2.5.iso,3,2.2.2.5
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),DNAC-SW-1.3.3.6.iso,3,1.3.3.6
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),cat9k_iosxe.16.12.03s.SPA.bin,3,16.12.03s
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),asr1000rpx86-universalk9.16.12.01s.SPA.bin,6,16.12.01s
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),cat9k_iosxe.16.12.04.SPA.bin,12,16.12.04
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),16.12.1s,2,16.12.1s
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),2.2.3.3,1,2.2.3.3
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),THIRD_PARTY_PRODUCT_SW,3,THIRD_PARTY_PRODUCT_SW
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),Gibraltar-16.12.1s,1,16.12.1s
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),1.3.3.7,2,1.3.3.7
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),1.3.3.9,1,1.3.3.9
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),DNAC-SW-2.3.3.7.iso,3,2.3.3.7
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),2.1.2.7,1,2.1.2.7
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),2.2.3.6,1,2.2.3.6
Cisco DNA Center - On-Prem,Cisco Software-Defined Access (SDA Wired),cat9k_iosxe.17.06.02.SPA.bin,3,17.06.02
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,ASA,3,ASA
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,9.9.2 Interim,1,9.9.2
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,THIRD_PARTY_PRODUCT_SW,6,THIRD_PARTY_PRODUCT_SW
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,Cisco_Firepower_Threat_Defense_Virtual-6.4.0-102.tar.gz,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,6.2.3.7,1,6.2.3.7
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,9.9,1,9.9
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,15.2(2)E,1,15.2.2
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,cisco-asa.9.10.1.40.SPA.csp,3,9.10.1.40
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,6.4.0.10,1,6.4.0.10
Security - Network Firewalls and Intrusion Prevention Systems,Firepower Threat Defense (FTD) non-VPN,6.6.0,1,6.6.0
LAN Switching,Cat9300,cat9k_lite_iosxe.16.12.04.SPA.bin,3,16.12.04
LAN Switching,Cat9300,NA - COMPONENT ONLY,3,NA - COMPONENT ONLY
LAN Switching,Cat9300,THIRD_PARTY_PRODUCT_SW,6,THIRD_PARTY_PRODUCT_SW
LAN Switching,Cat9300,NA - RMA,45,NA - RMA
LAN Switching,Cat9300,cat9k_iosxe.16.12.04.SPA.bin,18,16.12.04
LAN Switching,Cat9300,ucs-k9-bundle-b-series.3.2.3o.B.bin,3,3.2.3o
LAN Switching,Cat9300,15.0(2)SE2,1,15.0.2
LAN Switching,Cat9300,cat9k_iosxe.16.06.07.SPA.bin,3,16.06.07
LAN Switching,Cat9300,cat9k_iosxe.16.12.03s.SPA.bin,6,16.12.03s
LAN Switching,Cat9300,1,5,1
LAN Switching,Cat9300,cat9k_iosxe.16.06.08.SPA.bin,3,16.06.08
LAN Switching,Cat9300,Gibraltar-16.12.1s,1,16.12.1s
LAN Switching,Cat9300,cat9k_iosxe.17.03.05.SPA.bin,6,17.03.05
LAN Switching,Cat9300,16.12.4,12,16.12.4
LAN Switching,Cat9300,16.9.5,3,16.9.5
LAN Switching,Cat9300,cat9k_lite_iosxe.16.12.01s.SPA.bin,3,16.12.01s
LAN Switching,Cat9300,PRODUCT_NOT_FOUND,3,PRODUCT_NOT_FOUND
LAN Switching,Cat9300,16.3.5,1,16.3.5
LAN Switching,Cat9300,16.12.3s,4,16.12.3s
LAN Switching,Cat9300,cat9k_iosxe.16.09.02.SPA.bin,3,16.09.02
LAN Switching,Cat9300,16.12.3a,1,16.12.3a
LAN Switching,Cat9300,16.12.1s,1,16.12.1s
LAN Switching,Cat9300,17.6.4,1,17.6.4
Cisco DNA Center - On-Prem,"Cisco DNA Center - Network Settings (wireless maps, network credentials, etc.)",DNA Center-2.3.3.7.72328,1,2.3.3.7.72328
Cisco DNA Center - On-Prem,"Cisco DNA Center - Network Settings (wireless maps, network credentials, etc.)",2.3.3.6,1,2.3.3.6
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",cisco-ftd.6.4.0.102.SPA.csp,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",CISCO FIREPOWER,9,CISCO FIREPOWER
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",Sourcefire_3D_Device_S3_Patch-6.1.0.3-57.sh,9,6.1.0.3.57
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",ASA,6,ASA
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",Cisco_Firepower_NGIPS_Appliance_Upgrade-6.4.0-102.sh.REL.tar,3,6.4.0.102
Security - Network Firewalls and Intrusion Prevention Systems,"FireSIGHT / FirePOWER - 8000/7000 series switched/routed/hybrid interfaces, NAT, stacking, clustering (Sourcefire)",Cisco_Network_Sensor_Patch-6.2.3.15-38.sh.REL.tar,3,6.2.3.15.38
